restaurants_name,restaurants_phone,restaurants_user_name,restaurants_user_review
Il Corvo Pasta,(206) 538-0999,Victoria C.,"I've been so excited to come to this place due to all the hype around it. I might have come on a slightly off day though.
We came the day after Christmas around 10:45 AM, 15 minutes before they open. And they aren't kidding when they say if you don't want to wait that long to come around 10:30 AM to get in line. The line was long. And it might have been because a lot of people were off the day after Christmas, so why not come to get some delicious pasta.
You order once you get to the front, and the cashier will tell you where to sit. Like everyone else says, they do have a good system. They bring out pasta to you pretty fast, you eat, bus your own tables, and just get moving. There always seemed to be an open seat right when you got to the register. My husband and I got all 3 of the pastas, an order of the housemade focaccia bread, the kale salad, the proscuitto, and one of the dulche de leche cookies. The bread was the best part of the meal, although I do wish it was a little warmer. But I understand that they're trying to get it out orders as fast as possible. The kale salad was fine, as we the proscuitto.
When the pasta finally came out, we weren't blown away. To us, the base of the pasta dishes kind of all tasted the same. I was hoping the bolognese would be a little more flavorful, but it was just okay. They do have take out boxes for you to grab on your own as well.
For the line and wait, I probably wouldn't come back here. We didn't find the wait worth it honestly. The parking around the area is pretty scarce as well. There are some lots where you pay $10 an hour. Otherwise street parking is going to take you a little while to find."
Il Corvo Pasta,(206) 538-0999,Phil H.,"Absolutely loved the whole experience here.
We were in town for a few days to explore Seattle before our Alaskan cruise and wanted to hit up a spot for lunch where the locals eat. II Corvo was highly recommended.
As advertised, there is a wait and the line can be long. We got on it and patiently waited. Moved decently overall and we got in after a while.
You head up to the main counter and place your order. Staff is very friendly and will find you a spot to eat, even if there is a small wait until other diners finish up. It's not the biggest place and it was packed while we were there. Was told this is pretty much the norm. Even so, they found our group of five a table within minutes.
The delicious house made pasta arrives fairly quickly. You grab your own napkins, utensils, water, and clean up after yourself once you're done. Each day they feature different pastas. At only $10 a plate it's super affordable. We each ordered different pastas to taste and share. Loved it.
Oh snap that focaccia bread. It's pretty awesome. It's the crack of carbs. Dipping oil too. The kale salad blew my socks off. I hate kale, as do most of my group, but we fought over this bowl and devoured it.
One of the best lunch experiences we had while on vacation."
Il Corvo Pasta,(206) 538-0999,Mandi W.,"I stupidly came here at lunchtime... Whyyyyyyyyyy?!?!?!
1 hr 9 minutes later, we're finally seated. That line is deceiving though. You have your outside line... But once you get to the front you realize there's an inside line lol. Whyyyyyy?!?!
Anyways, once you make it to the front of the inside line, you order, find your seat, and staff will bring your food out. Once finished, bus your own table and be on your way.
Their pasta menu changes daily except for the pappardelle. We got that and the campanelli. Both had great flavor, and noodles were fresh and cooked perfectly al dente.
They'll seat you at any open table so you'll most likely be joining another party. Obviously parties of two are easiest here and it seemed most common.
Tldr: good pasta, long lines, not sure if it's worth that wait. I'll try again at an off time. Stay tuned."
Il Corvo Pasta,(206) 538-0999,Tina Z.,"We came on a Friday about 1 hour after the restaurant opened. I was absolutely amazed at the line that was already wrapping around the block and even contemplated on eating somewhere else.
We ended up waiting about an hour and 15 mins prior to order. To think I almost didn't try this place saddens me because what a one-of-a-kind this place is. We got their two daily specials as well as their kale salad. Both pastas were literally the most perfectly al dente pasta I have ever had- there is absolutely no doubt the lines are long!
This place opens only for 4 lunch hours 5 days a week. Each day, they make two to three pasta dishes with ingredients all different from the last (menu announced every day about 1-2 hours before opening on Instagram). Some dishes have ingredients I normally would not order in my pasta, but if Il Corvo made it, I would definitely try it."
Il Corvo Pasta,(206) 538-0999,Carol L.,"BEST PASTA EVER! I would definitely give this place more stars if it were possible.
There is a long line, but most good places in Seattle do. I started lining up at 10:30 AM and got seated by 11:30. They don't let you save seats so you order first and a waiter will both guide you to an assigned seat and deliver the food.
One of the coolest things about this place is that they change their pasta menu daily. They have a classic pasta, which is always on their menu, called the pappardelle and it's amazing. The pasta is cooked to al dente and the meat sauce covers every little inch of that pasta. I still salivate thinking about it. Their other two kinds of pasta change daily according to what seasonal or fresh ingredients come about. You can follow their Instagram to see what the chef decides to make. Honestly, all their pasta are great though so I highly recommend you try them all. I also recommend getting the focaccia bread and the kale salad. They might not be on the top of your list of foods to try, but I promise you won't regret it!
All in all, everything was great from the food to the service. It's worth the hype and the recognition it gets. I'm currently still looking for something similar in LA, but have yet to find it. Really hoping they open a restaurant down here, but also a little worried that I would eat there WAY too often if they actually did."
Il Corvo Pasta,(206) 538-0999,Rebecca B.,"I was visiting family for the holidays and waited in line on Christmas Eve for 40 minutes starting at 10:20am before opening and have no regrets. There was a line to the corner block by 10:30. My little brother, an aspiring chef, made me watch the Eater episode featuring Il Corvo the night before, but it didn't take much convincing to wait in the cold with him in order to be one of the first customers in the door.
We ordered a feast of the kale salad, focaccia, pappardelle bolognese (the staple signature dish), pasticcio, and wine. The menu changes and Il Corvo announces daily what three pasta dishes will be served that day. Tip: check Instagram for updates. You can't go wrong whatever you order. The kale salad had a delightful crunch with a lemon dressing and generously sprinkled cheese. The house focaccia is unlike any focaccia I've ever had. There is no way to accurately describe the doughy, chewy, fluffy goodness. The quality and ingredients is unlike any other. The pasta itself was everything the reviews said it would be. Each pasta dish is reasonably priced at just over $10. I'm convinced I won't find pasta like this anywhere near me in Colorado and I'll be waiting in line again during my next visit.
My only regret about Il Corvo is that it is a quite small restaurant. Since word of its superior pasta has spread, there is a line that extends from the front register where you order and pay and wraps out onto the block. You will likely share a table (family style) in order for Il Corvo to serve more customers. I think this is actually a fun family-like environment but others may find it stifling as people bustle next to you waiting in line as you try to enjoy your food. Nevertheless, the pasta is worth it."
Il Corvo Pasta,(206) 538-0999,Rachel Z.,"I visited Seattle over Thanksgiving and decided to try Il Corvo after one of my friends raved about it. We arrived right at 11am on a Wednesday and the line was already around the corner! We ended up waiting around 1 hour and 15 minutes before we ordered our food at the counter. One thing that really stuck out to me was how reasonably priced the pasta was ($11 each). There are only 3 pasta entrees available to order each day. With a table of 3, we ordered 2 kale salads and one of each pasta offered that day: Pappardelle, Pasticcio, and Calamaretti.
The kale salad was really good. Not a surprise that almost everyone orders it. It's light and very refreshing. My favorite pasta was the Calamaretti, which had a really rich saffron and calamari broth. The Pasticcio was heavier and cheesy because it was baked in a pomodoro sauce. My least favorite was the Pappardelle because, despite the perfectly cooked pasta, the sauce was too dry.
Overall, I definitely think that the pasta at Il Corvo is great but I don't think I would wait in line again for over an hour to eat here. The atmosphere is also very hectic because there's a line of people through the middle of the restaurant. It's really crowded and because you have to bus your own table, it's a little bit of a headache navigating around the huge line of people when carrying dishes and glassware."
Il Corvo Pasta,(206) 538-0999,Rachel H.,"Finally was in the area around lunch to try this place out! Line wasn't too bad, as I came pretty late into the lunch hour.
I got the Bolognese and it was tasty! The texture of the sauce was a little soft for me, but the pasta itself was amazing. I would definitely come back to try some of their daily pasta's but not sure it totally lived up to they hype."
Il Corvo Pasta,(206) 538-0999,Lindsey S.,"The famous Il Corvo is someplace that has been on my list of places to try out for a while, and so to be in between jobs, it gives me a lot of time to go out and explore. SInce Il Corvo is only open for lunch, I knew I had to go as soon as possible. I went at around 1PM on a weekday and was expecting a huge line and wait, but when I arrived, there were only about 4 people in front of me at the door. Of course inside, the line extends, but I stepped inside fairly quickly. The place does get very, very crowded, but what I loved is that you don't have people waiting around trying to fight for a table. Once you order, the person at the register will tell you where to sit. People seemed to come and go at a pace that was easy for everyone to get seated right after ordering. They have that system DOWN.
We ordered the pappardelle and conchiglinie pasta dishes, and started off with the house focaccia and prosciutto di parma. The two appetizers came out almost as soon as we sat down. The focaccia-AMAZING. A must. Then prosciutto di parma was also DELICIOUS, and I would definitely order both again. The olive oil on the prosciutto was so fragrant ! The noodle dishes honestly, were not the BEST I've ever had, and I felt that I might have had too high of expectations, but they were satisfying. For the pappardelle, it was a little too hearty for me. I like pasta sauce to have a hint of sweetness, and the sauce for this dish wasn't that tomatoey. The cochinglinie was very salty and spicy, and it was good at first, but became a bit overpowering at the end.
I say that I would recommend Il Corvo to those visiting Seattle, and that the wait is worth to just try it out, but in terms of homemade pasta, there are other places that have the same quality for an equal price. Very good, and I will be back to curb my curiosity of their other dishes."
Il Corvo Pasta,(206) 538-0999,Mia C.,"For the price, portion, and quality of the pasta, iL Corvo is solid. However, I would not wait in line for over an hour to come here vs others in the area like Pasta Castalinga or Due Cucina, where there is no line. The pesto pasta and signature parpardelle were both good, and I love the olive oil they use here. Their open hours are only suited for people who are able to come at 10:45am, and even then it would be a 45 min wait before being able to eat. Not convenient. Good pasta."
Pomodoro,(206) 324-3160,Sarah M.,"Yummy, with big portions. Had takeout during the Covid epidemic, and during this time they are offering 20% off to go orders -- even for wine. I can only imagine how it would be even better for a sit down visit and can't wait for the chance to go back during better times."
Pomodoro,(206) 324-3160,Dan T.,"We ordered takeout yesterday due to the quarantine of the city. The food was absolutely delicious. Some of the best Italian food we have ever had and so welcome during these challenging times. Chef Antolin is the best at his craft.
We will definitely be calling in another order soon. For everyone who wants a truly first class meal please support this restaurant and their staff.
Thank you for making our dinner and evening so enjoyable at home."
Pomodoro,(206) 324-3160,Mike V.,"Why are these restaurants only in Seattle?
It's as if all these great chefs slaved away in the industry for years, and one day woke up and said, you know what? I'm going to buy a small place, house, bottom floor of a building with three chiropractic offices, and just run my own small kitchen where I can float casually between the pan my guests tables, regaling them with stories of my cooking career and adventures, all the while wowing them with absolutely incredible dishes.
What Zouave is for Italian with a hint of southern French flair, Pomodoro is for Italian with a decidedly Spanish/Mediterranean coastline lean.
The chef knocks it out of the park every time we go here, and the service in largely impeccable, but more so when the chef is hanging around your table.
Outside of traveling abroad, we rarely do a full bottle of wine at dinner in the US, as dinners are often so rushed. Not here. And we always take the chefs recommendation on a bottle once we've decided which of his incredible meals we will take on for the evening.
My personal favorites are the Capellini with the fresh dungeness crab (insanely good) and the puttanesca with prawns. And yes, you should absolutely take the chefs recommended additional spice from his special habanero olive oil that you've read about, or if you're lucky and he has it, his secret truffle oil.
We have two places we go every week or two in Seattle, Canon for drinks and dinner, and Pomodoro for the slightly early dinner on weekends, especially rainy ones where you want nothing more than comfort food, smiles and great red wine."
Pomodoro,(206) 324-3160,David P.,"Honestly, I think Pomodoro is the best Italian restaurant in Seattle. I've been to fancier places in Seattle, to cheaper places, but the food and people at Pomodoro are second to none.
I used to live in Boston where I was lucky to have experienced authentic Italian food in the North End area of the city. Being able to get home-y Italian food is one of the things I miss the most about Boston and Pomodoro fills that void for me.
The food is no frills, just good food. The owners and staff are genuine and warm. We would highly recommend checking out Pomodoro!"
Pomodoro,(206) 324-3160,Chris A.,"A chef that's cooked for the King of Spain? Sign me up... xD
I've been living in Seattle for almost 10 years and Pomodoro continues to be one of my go to spots for visitors and for when I want to treat myself! Prices are very reasonable and the food and service is amazing.
Pomodoro is an awesome mixture of Spanish Basque and Italian. I've been numerous times, always ordered something new, and have always enjoyed my meal. Also can someone figure out what is in that avocado pesto that is brought to every table? Its so GOOD! xD."
Pomodoro,(206) 324-3160,Thao N.,"First of all, happy birthday to one of my best friend, Jordan!!!
She's the reason why we discovered this restaurant since I never have a reason to be around this Eastlake neighborhood. The restaurant is super cute, small, and intimate, good thing we had a reservation. Food is great, my angel hair pasta just melts in my mouth. I ordered no shrimp because I don't eat seafood and they offered to replace it with mushrooms, wasn't even expecting a replacement. Everybody's food looked so good too, it was freshly made as you can see the hot steam coming in the air while everybody is eating. Service was excellent considering we did came in a large group. They even came outside to take a group photo for us which you already know, it's time consuming when it's all girls xD
There's unlimited bread as appetizers, be careful or you might actually get too full before your entree comes out. Love this place, nice enough for date nights/special occasions and cozy enough if you casually just want some good Italian food for dinner. I hate cooking, good thing I didn't have to last night.
Tell me about your experience if you've been here or is going to after reading this review:)"
Pomodoro,(206) 324-3160,Nicole A.,"I was scrambling to find a place for dinner for 5 people on a Friday night, and luckily Pomodoro came the the rescue! It's a smaller restaurant that has a very intimate vibe with dim lighting and a partially open kitchen.
To start we shared two tapas: the ravioli with hummus and truffle, and the calamari. Of the two, I preferred the calamari. The squid tasted fresh and it was sautéed squid rather than breaded and deep fried squid, which was a pleasant change. In comparison the ravioli was a bit too rich and heavy.
For my entree I opted for the paella and I was happy with my choice! The amount of seafood was abundant and the presentation was pretty. I also enjoyed the seasonings and it was cooked well. The only suggestion I would have would be to get a bit more of a crispy layer in the skillet. The rice seemed like it was cooked into a larger batch and then served in the skillet they brought me, so I was missing the slightly crunchy and smoky bits I love in paella. After a while, the texture can be a bit one-note without them."
Pomodoro,(206) 324-3160,Janhavi B.,"Pomodoro is hands down one of the best Italian restaurants in Seattle. There are fancier ones, but the food and service here are is unparalleled. I would say that Pomodoro is pricier than some others (e.g. Ristorante Machiavelli) but it more than makes up with the personal touch and the fact that you can get a table way more easily! Located on the relatively quiet Eastlake Avenue - it's almost easy to miss, but their handmade pastas, and dessert (tiramisu and creme brulee) are a must-try. Almost every pasta and special I have tried so far has been delicious so I can't recommend anything specific but highlight recommend a visit here! With 1 entree per person, a dessert and a bottle of wine, it may end up costing you close to $40-50 a pop."
Pomodoro,(206) 324-3160,Jordan N.,"I've been here two times already and both times have been amazing! They have free parking behind the restaurant and can make​ reservations online for big parties in advance.
Both times I ordered the Linguine alla Carbonara con Pancetta, which has pork belly and ​light cream. It was very delicious and satisfying to my stomach! Normally I feel so bloated after eating pasta but I ate the whole damn thing! I also had a malbec (red wine) to complement my pasta. There's also a bread appetizer served with some cilantro butter, so yummy!
Last night I came here for my birthday dinner and the staff brought out a tiramisu cake with a candle. The cake was rich in coffee flavor. The staff was also patient with our large party and even split up our checks and took a picture for us!
I love coming here and would love to try new things on their menu when I have another chance. Highly recommended to those who love Italian and Spanish dishes."
Pomodoro,(206) 324-3160,Jacqueline H.,"Came here for a friend's birthday and had a great meal! The restaurant is in a quiet area of Eastlake and is pretty low key. The chef walks around and takes your order and provides some great recommendations. We ordered the portobello mushrooms and octopus as appetizers. Both were delicious! They also bring you bread that comes with a side of pesto - love when Italian restaurants give pesto instead of bread or olive oil!
For the entrees, we ordered the Gnocchi con Salsiccia e Funghi, paella, and Capellini al Aglio con Polpa di Grancio e Tartufo. The paella was really good and came with a good variety of seafood (calamari, mussels, shrimp) and wasn't overly greasy. The capellini was delicious! I loved the crab meat and truffle oil. The gnocchi was good as well, but my least favorite out of the 3. Additionally we tried their tiramisu and it was amazing! Overall, a great Italian restaurant that is super low key but has delicious food. Highly recommend!"
Pomodoro,(206) 324-3160,Heidi L.,"I was looking for a nice date night spot for my boyfriend and I since we were craving Italian food for our anniversary. The restaurant wasn't too busy at the time we came in. The chef, himself stopped by our table asking how our food was, he then recommended a spicy oil that would go well with my special pasta. I love spicy food so that was a pleasant experience and it complimented the food well. Both the pasta dishes were filled with flavor and just danced in our taste pallet. It had us talking about it for the rest of the evening haha. I would definitely comeback for another date night!"
Pomodoro,(206) 324-3160,Lynden L.,"My dining experience at Pomodoro was as a part of a large-party. For those interested in making a large party reservation, they will typically require you to book a time earlier than their normal dinner hours and charge a late/overtime fee if your group shows up late or stays beyond the allocated time.
The service was very friendly throughout the evening and as they were prepared for our party, servers were very prompt as well. They quickly took everyone's individual pasta orders as they sat down and served the caesar salad shortly after. The dressing on the caesar was very flavorful and was not too salty or heavy. It did seem like the lettuce had been sitting in the dressing for a while though-- this might not be an issue with a regular dining experience.
I ordered the Penne alla Vodka, which I believe was the best dish out of the pre-selected options we were given. It was the perfect balance between creamy and tangy. There could've been a bit more sausage or veggies to mix up the texture though. I also had a bite of the Sun Dried Tomato Pesto con Linguine pasta, which was alright, but felt like it was missing a certain 'oomph'. Perhaps some extra spice or citrus (lemon squeeze?) would really brighten it up. The prawns served with the dish were very plump and fresh though!
The tiramisu was average-- we did notice that each piece seemed to have a different flavor profile (more chocolatey, more alcoholic, more coffee) so there was a lack of consistency but the taste was fine."
Pomodoro,(206) 324-3160,Jun Li Z.,"Came here on a date in October 2018. The pasta dishes are great and I recall the service was really good. I recommend coming here on dates or with a friend. The atmosphere is quite chill, low lighting which can be romantic or hard for your partner to see the menu ;)"
Pomodoro,(206) 324-3160,Amanda I.,"I came to Pomodoro the night after an interview to reward myself and unwind a bit. I ordered the Dungeness crab angel hair pasta special and loved it. Though it was pricey, there was a good amount of crab. I believe it also had some black truffles which added great flavor to the simple butter garlic sauce. They also offer a spicy sauce to drizzle on top and I would highly recommend it. It is a bit spicy so maybe ask to try a little on the side first.
For dessert I got the creme brûlée. This is perhaps one of my favorite dessert dishes so I couldn't resist. I was somewhat disappointed. Instead of the creamy center it usually has, this one was much firmer. The flavor was good but the texture was certainly off. The top tasted like a toasted marshmallow which, again, is not quite what one typically looks for in a creme brûlée. But it was good and I ate it up. However for $9 it is definitely not worth the price.
Service here is really good. The owner is very friendly and chatted to me a little about my trip to Seattle. Other employees were very efficient and friendly as well. The check did feel a little rushed at the end but otherwise the service was great!
If you're looking for somewhere to go for a special occasion this would be a really good option. The food is a little pricier but it is delicious. The ambiance creates a more upscale feel and the service is on point."
Pomodoro,(206) 324-3160,Sloan C.,"Went there last Friday night. Although I was late for my reservation, they were nice enough to find a table for me and my friend. Food was great. Ordered linguine with cream and anise sauce and shrimp. The sauce was balanced - flavorful yet not too heavy. The pasta was topped with some grapes, which I found interesting. I also ordered ab octopus side and it was soooo tender. Would definitely come back again to try other items from the menu!"
Pomodoro,(206) 324-3160,Annalise W.,"Love this place. Perfect little neighborhood Italian restaurant. Ideal for date nights, celebrating, or if you're just craving some delicious Italian food. Romantic, intimate, and homey vibe.
Portion sizes are generous and food is always consistently delicious. I love their caesar salad. I always get the same entree, the chicken breast with gorgonzola sauce and pasta with red sauce. It's absolutely amazing! Chicken is tender and juicy. I always have a hard time deciding if I want a creamy white sauce or a zesty tomato sauce and I love this dish because I get the best of both worlds. The chicken is covered in a creamy gorgonzola and the pasta is in a light tomato sauce. Portion size is very generous. They also have a house made chili oil that you can ask for on your pasta. It's too spicy for me, but if you love some heat I recommend. I have also ordered the carbonara, which I recommend. I also highly recommend the tiramisu.
Definitely one of my favorite Italian restaurants in the city! There is also a free covered parking garage that is super convenient."
Pomodoro,(206) 324-3160,Alex O.,"Best fettuccine Alfredo hands down. At least for me. I don't know why but it has such an interesting taste. Different from all the other Alfredo dishes I've had. I just want to eat more and more. It has a Spanish twist to it. If you order it's Polla al Jerez. The tiramisu is also heavenly. I need to stop trying the other desserts and just stick with this one.
The snow crab pasta is also exceptionally good. I need to get this one again. If only I could eat pasta everyday."
